box,activation,hiddenLayers,inputDropout,dropout,epochs,trainSamplesPerIteration,rho,l1,l2,maxw2,epsilon,balance_classes,dataTransformation,lossFunction,executionTime,logLoss1,logLoss2,logLoss3,logLoss4,accuracy1,accuracy2,accuracy3,accuracy4
work,RectifierWithDropout,36;18,0,0.1,25,-2,0.98,1.00E-05,0.001,10,1.00E-07,FALSE,raw,CrossEntropy,0.171543071,0.593383861,0.612819231,0.598265443,0.606391417,0.784486102,0.776197556,0.775551102,0.773755656
work,RectifierWithDropout,36;18,0.1,0.5,50,-2,0.9999,1.00E-04,0,7,1.00E-07,FALSE,log,CrossEntropy,0.146959058,0.942141478,0.95877669,0.944458198,0.952488314,0.691725921,0.668562932,0.682073825,0.669230769
work,RectifierWithDropout,100;20,0.02,0.05,15,-2,0.95,0.01,1.00E-05,7,1.00E-09,FALSE,raw,CrossEntropy,0.26165083,0.848423299,0.871482433,0.859857024,0.857344507,0.695669037,0.695714009,0.697006917,0.693471235
work,RectifierWithDropout,1024;512;256,0.2,0.2,5,-2,0.9999,1.00E-05,0,7,1.00E-09,FALSE,raw,CrossEntropy,1.096433812,0.583476696,0.589525065,0.576967216,0.57519703,0.771299289,0.769474433,0.771478441,0.774725275
work,RectifierWithDropout,200;100;50,0.02,0,10,-2,0.99,0.01,0.001,10,1.00E-06,FALSE,sqrt,CrossEntropy,0.307047204,0.814064025,0.797204617,0.814764366,0.82542456,0.704460246,0.714655117,0.712004654,0.699741435
work,RectifierWithDropout,100;20,0,0.2,15,-2,0.99,1.00E-04,1.00E-04,10,1.00E-07,FALSE,raw,CrossEntropy,0.187747971,0.561675969,0.573624399,0.553908663,0.565263342,0.791467356,0.785829724,0.787381214,0.78435682
work,RectifierWithDropout,100;50,0,0.05,10,-2,0.98,1.00E-05,0.001,3,1.00E-09,FALSE,sqrt,CrossEntropy,0.237183487,0.560266043,0.571582425,0.561266695,0.56992465,0.790497738,0.784860043,0.78828625,0.778539108
work,RectifierWithDropout,36;36,0,0.5,5,-2,0.9999,1.00E-05,0,10,1.00E-07,FALSE,log,CrossEntropy,0.077627838,0.832037826,0.986170361,0.873026839,0.898364325,0.704266322,0.655633848,0.695390782,0.686748546
work,RectifierWithDropout,36;36;36,0.02,0.2,50,-2,0.999,0.01,0.001,7,1.00E-09,FALSE,log,CrossEntropy,0.290202313,0.793327394,0.8001513,0.784051049,0.820637465,0.7291532,0.720667141,0.724739802,0.705235941
work,RectifierWithDropout,200;100;50,0.02,0.2,10,-2,0.99,1.00E-05,1.00E-04,5,1.00E-08,FALSE,raw,CrossEntropy,0.353893571,0.529798324,0.542555901,0.539673563,0.547792442,0.797608274,0.787769087,0.785053979,0.786554622
work,RectifierWithDropout,72;72;72,0.1,0.1,50,-2,0.98,1.00E-05,1.00E-04,20,1.00E-07,FALSE,log,CrossEntropy,0.491579358,0.565688748,0.581005334,0.549136046,0.59222787,0.796638655,0.784666106,0.792358911,0.786425339
work,RectifierWithDropout,72;72;72,0.1,0.2,10,-2,0.95,0.01,1.00E-05,7,1.00E-06,FALSE,log,CrossEntropy,0.153993183,0.868886593,0.882348558,0.849664231,0.880834283,0.699224305,0.689895921,0.698493762,0.692630899
work,RectifierWithDropout,250;125,0.3,0.1,10,-2,0.9999,0.01,0,30,1.00E-09,FALSE,log,CrossEntropy,0.315111363,0.80713592,0.77840621,0.828112614,0.826594883,0.725080802,0.722865085,0.722606503,0.713639302
work,RectifierWithDropout,100;100,0.01,0.05,35,-2,0.98,1.00E-05,1.00E-05,5,1.00E-06,FALSE,sqrt,CrossEntropy,0.404891442,0.610429237,0.619041902,0.61795333,0.61871762,0.784486102,0.787833732,0.776326847,0.775953458
work,RectifierWithDropout,75;150;75,0.01,0.1,50,-2,0.99,0.01,1.00E-05,30,1.00E-07,FALSE,sqrtPlus3Over8,CrossEntropy,0.579418563,0.7776803,0.790627608,0.788963899,0.824921795,0.732514544,0.719697459,0.727519555,0.695604396
work,RectifierWithDropout,500;250;125,0.05,0.1,5,-2,0.999,0.001,0,7,1.00E-08,FALSE,sqrtPlus3Over8,CrossEntropy,0.527099308,0.613089708,0.612726784,0.625221697,0.613252372,0.762895928,0.764561381,0.760036201,0.761667744
work,RectifierWithDropout,36;36,0.01,0.05,50,-2,0.98,0.01,1.00E-04,7,1.00E-09,FALSE,raw,CrossEntropy,0.303887246,0.78070585,0.837071977,0.829659095,0.841430371,0.730833872,0.705281531,0.710582455,0.702003878
work,RectifierWithDropout,500;250;125,0.01,0.3,10,-2,0.999,0.01,1.00E-05,10,1.00E-07,FALSE,log,CrossEntropy,0.55001435,0.859370319,0.958663979,0.904050629,0.943127169,0.714996768,0.653048032,0.691576702,0.683904331
work,RectifierWithDropout,500;500;250;100,0.02,0.1,10,-2,0.95,0.001,1.00E-05,20,1.00E-08,FALSE,sqrtPlus3Over8,CrossEntropy,1.3768259,0.623336138,0.637674058,0.637668503,0.648979493,0.772979961,0.768957269,0.762815954,0.763413058
work,RectifierWithDropout,500;500;250;100,0.3,0.2,50,-2,0.98,0,0.01,7,1.00E-07,FALSE,raw,CrossEntropy,4.495422554,0.695724774,0.690755212,0.698856341,0.685033861,0.749903038,0.745555627,0.747818217,0.751260504
work,RectifierWithDropout,75;150;300,0.01,0.1,50,-2,0.95,0,0.01,20,1.00E-08,FALSE,sqrtPlus3Over8,CrossEntropy,1.588607934,0.612378904,0.599477,0.596819924,0.601970829,0.783775048,0.786217596,0.781433835,0.780155139
work,RectifierWithDropout,75;150;300,0.3,0.2,5,-2,0.9999,0.01,0,7,1.00E-09,FALSE,sqrt,CrossEntropy,0.150124454,1.004082146,1.015987887,1.05945601,1.024439905,0.651454428,0.651302605,0.641023983,0.643826761
work,RectifierWithDropout,36;18,0.01,0.2,35,-2,0.98,0.01,0.001,3,1.00E-09,FALSE,raw,CrossEntropy,0.221644587,0.8670993,0.876445041,0.850141826,0.842811392,0.702844215,0.696360463,0.699980606,0.702456367
work,RectifierWithDropout,75;150;300,0.1,0.2,10,-2,0.98,0.01,0.001,3,1.00E-06,FALSE,sqrtPlus3Over8,CrossEntropy,0.198789658,1.025079597,0.95555554,0.994020108,0.969315137,0.649773756,0.654534876,0.653759131,0.680284421
work,RectifierWithDropout,200;100;50,0.02,0.3,25,-2,0.99,0.001,0,30,1.00E-08,FALSE,raw,CrossEntropy,0.575180262,0.578723893,0.578461815,0.572468707,0.581135488,0.784744667,0.783179262,0.781886353,0.779508727
work,RectifierWithDropout,1024;512;256,0,0.1,50,-2,0.99,0.01,1.00E-05,30,1.00E-09,FALSE,sqrtPlus3Over8,CrossEntropy,7.342232467,0.966190698,0.962564008,0.873225196,0.890126942,0.659469942,0.65815502,0.702695714,0.69217841
work,RectifierWithDropout,75;150;75,0.05,0.3,5,-2,0.98,0.001,0.001,3,1.00E-07,FALSE,sqrtPlus3Over8,CrossEntropy,0.140616946,0.642872821,0.633201169,0.645576176,0.635248609,0.762960569,0.75906652,0.760941237,0.761344538
work,RectifierWithDropout,75;150;75,0.1,0.2,50,-2,0.999,1.00E-04,0,30,1.00E-06,FALSE,raw,CrossEntropy,0.432925796,0.611811053,0.619782588,0.60815563,0.634384179,0.777117001,0.761587692,0.762298791,0.776212023
work,RectifierWithDropout,75;150;75,0.01,0.05,50,-2,0.999,0.01,0.001,5,1.00E-07,FALSE,log,CrossEntropy,0.588827754,0.820739531,0.834083911,0.822295895,0.811206321,0.713897867,0.70896632,0.717628806,0.71564318
work,RectifierWithDropout,250;125,0.1,0.3,50,-2,0.9999,1.00E-04,0,10,1.00E-07,FALSE,raw,CrossEntropy,0.604302775,0.646163183,0.671429246,0.689029904,0.684336738,0.754880414,0.752020169,0.741870838,0.744861021
work,RectifierWithDropout,500;500;250;100,0,0.3,35,-2,0.95,0,0.01,3,1.00E-07,FALSE,sqrtPlus3Over8,CrossEntropy,4.114350124,0.638627099,0.65717824,0.642677435,0.642869831,0.771428571,0.763462409,0.763656345,0.766386555
work,RectifierWithDropout,250;125,0.3,0.05,25,-2,0.98,0,1.00E-05,2,1.00E-06,FALSE,sqrt,CrossEntropy,0.558611088,0.644451115,0.649896651,0.668855301,0.6433492,0.764511959,0.762298791,0.759325102,0.755332902
work,RectifierWithDropout,35;17,0.01,0.1,5,-2,0.98,0.01,0,2,1.00E-09,FALSE,raw,CrossEntropy,0.088541004,0.905359518,0.898362117,0.902706335,0.912786406,0.691273432,0.693322128,0.694162519,0.68907563
